Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,movie_name
1992,99,119.0,8.3,341.0,218.0,647.0,475.0,129.0,918562,2832029,Reservoir Dogs
1987,116,165.0,8.3,401.0,368.0,531.0,712.0,2.0,675146,46357676,Full Metal Jacket
1986,137,9.0,8.3,173.0,486.0,457.0,93.0,587.0,652719,85160248,Aliens
1984,160,80.0,8.3,300.0,176.0,655.0,184.0,644.0,369007,51973029,Amadeus
1983,170,110.0,8.3,51.0,9.0,467.0,658.0,501.0,740911,45598982,Scarface
1983,131,4.0,8.3,354.0,355.0,233.0,92.0,78.0,950470,309125409,Star Wars: Episode VI - Return of the Jedi
1981,149,48.0,8.3,460.0,300.0,243.0,395.0,278.0,231855,11487676,Das Boot
1976,114,110.0,8.3,275.0,441.0,322.0,134.0,15.0,724636,28262574,Taxi Driver
1973,129,88.0,8.3,142.0,407.0,553.0,589.0,119.0,241513,159600000,The Sting
1971,136,118.0,8.3,401.0,346.0,513.0,470.0,754.0,757904,6207725,A Clockwork Orange
1968,149,55.0,8.3,401.0,306.0,206.0,723.0,152.0,603517,56954992,2001: A Space Odyssey
1965,132,181.0,8.3,389.0,115.0,397.0,227.0,478.0,232772,15000000,Per qualche dollaro in più
1962,228,35.0,8.3,87.0,413.0,12.0,41.0,295.0,268085,44824144,Lawrence of Arabia
1960,125,96.0,8.3,42.0,238.0,604.0,212.0,616.0,164363,18600000,The Apartment
1959,136,54.0,8.3,17.0,88.0,182.0,283.0,343.0,299198,13275000,North by Northwest
1958,128,177.0,8.3,17.0,245.0,379.0,51.0,729.0,364368,3200000,Vertigo
1952,103,106.0,8.3,399.0,194.0,214.0,173.0,161.0,218957,8819028,Singin' in the Rain
1952,143,124.0,8.3,5.0,500.0,497.0,643.0,264.0,68463,55240,Ikiru
1948,89,124.0,8.3,452.0,322.0,175.0,415.0,196.0,146427,332930,Ladri di biciclette
1944,107,112.0,8.3,42.0,187.0,54.0,179.0,102.0,143525,5720000,Double Indemnity
1941,119,150.0,8.3,321.0,402.0,343.0,174.0,4.0,403351,1585634,Citizen Kane
1931,117,122.0,8.3,128.0,412.0,164.0,268.0,577.0,143434,28877,M - Eine Stadt sucht einen Mörder
1927,153,159.0,8.3,128.0,73.0,18.0,244.0,646.0,159992,1236166,Metropolis
1921,68,92.0,8.3,64.0,93.0,154.0,278.0,107.0,113314,5450000,The Kid
2019,143,91.0,8.2,313.0,495.0,605.0,703.0,602.0,33893,898575,Chhichhore
2018,138,28.0,8.2,4.0,531.0,509.0,489.0,771.0,43444,4186168,Uri: The Surgical Strike
2018,130,76.0,8.2,334.0,533.0,421.0,419.0,674.0,377884,85080171,Green Book
2017,115,88.0,8.2,274.0,184.0,690.0,618.0,105.0,432610,54513740,"Three Billboards Outside Ebbing, Missouri"
2015,132,116.0,8.2,282.0,233.0,381.0,505.0,687.0,31142,342370,Talvar
2017,167,23.0,8.2,378.0,421.0,537.0,44.0,710.0,75348,20186659,Baahubali 2: The Conclusion
2015,163,116.0,8.2,312.0,7.0,606.0,664.0,611.0,70367,739478,Drishyam
2013,146,37.0,8.2,448.0,302.0,535.0,422.0,331.0,60701,1429534,Queen
2013,87,165.0,8.2,470.0,329.0,165.0,230.0,540.0,40382,144501,Mandariinid
2013,186,83.0,8.2,343.0,177.0,613.0,540.0,51.0,61137,1626289,Bhaag Milkha Bhaag
2010,134,124.0,8.2,449.0,426.0,564.0,435.0,614.0,42341,7461,Udaan
2012,135,13.0,8.2,429.0,233.0,422.0,557.0,269.0,33237,39567,Paan Singh Tomar
2009,129,151.0,8.2,231.0,432.0,611.0,529.0,109.0,193217,6391436,El secreto de sus ojos
2011,140,27.0,8.2,135.0,517.0,490.0,328.0,336.0,435950,13657115,Warrior
2010,138,179.0,8.2,275.0,330.0,168.0,446.0,66.0,1129894,128012934,Shutter Island
2009,96,61.0,8.2,332.0,62.0,155.0,350.0,364.0,935507,293004164,Up
2013,180,77.0,8.2,275.0,330.0,341.0,439.0,510.0,1187498,116900694,The Wolf of Wall Street
2007,153,128.0,8.2,391.0,479.0,667.0,613.0,681.0,74129,1113541,Chak De! India
2007,158,124.0,8.2,328.0,125.0,518.0,123.0,500.0,517359,40222514,There Will Be Blood
2006,118,132.0,8.2,151.0,236.0,46.0,638.0,484.0,618623,37634615,Pan's Labyrinth
2010,103,61.0,8.2,254.0,516.0,645.0,320.0,559.0,757032,415004880,Toy Story 3
2005,132,26.0,8.2,181.0,228.0,488.0,605.0,696.0,1032749,70511035,V for Vendetta
2006,167,88.0,8.2,343.0,0.0,610.0,646.0,678.0,111937,2197331,Rang De Basanti
2005,122,124.0,8.2,383.0,18.0,538.0,642.0,58.0,33354,733094,Black
2005,140,0.0,8.2,72.0,109.0,458.0,386.0,451.0,1308302,206852432,Batman Begins
2004,210,124.0,8.2,36.0,479.0,211.0,394.0,686.0,83005,1223240,"Swades: We, the People"
2004,156,80.0,8.2,317.0,80.0,16.0,700.0,391.0,331308,5509040,Der Untergang
2004,119,63.0,8.2,158.0,98.0,632.0,670.0,9.0,333915,4711096,Hauru no ugoku shiro
2001,135,78.0,8.2,374.0,457.0,152.0,306.0,132.0,848920,170742341,A Beautiful Mind
1998,107,15.0,8.2,154.0,253.0,135.0,509.0,322.0,535216,3897569,"Lock, Stock and Two Smoking Barrels"
1997,138,116.0,8.2,76.0,313.0,572.0,245.0,424.0,531967,64616940,L.A. Confidential
1995,170,119.0,8.2,290.0,9.0,550.0,701.0,372.0,577113,67436818,Heat
1995,178,110.0,8.2,275.0,441.0,600.0,326.0,312.0,466276,42438300,Casino
1992,130,167.0,8.2,73.0,115.0,213.0,494.0,626.0,375935,101157447,Unforgiven
1989,127,0.0,8.2,408.0,216.0,592.0,16.0,163.0,692366,197171806,Indiana Jones and the Last Crusade
1988,142,88.0,8.2,107.0,138.0,67.0,424.0,280.0,26402,280015,Dom za vesanje
1988,86,74.0,8.2,158.0,224.0,499.0,106.0,680.0,291180,1105564,Tonari no Totoro
1988,132,33.0,8.2,214.0,79.0,8.0,76.0,619.0,793164,83008852,Die Hard
1985,162,28.0,8.2,5.0,503.0,4.0,317.0,148.0,112505,4135750,Ran
1980,129,83.0,8.2,275.0,441.0,90.0,326.0,228.0,321860,23383987,Raging Bull
1979,162,159.0,8.2,19.0,16.0,14.0,23.0,565.0,116945,234723,Stalker
1975,91,39.0,8.2,424.0,505.0,226.0,331.0,213.0,500875,1229197,Monty Python and the Holy Grail
1963,172,44.0,8.2,217.0,492.0,272.0,568.0,118.0,224730,12100000,The Great Escape
1959,121,105.0,8.2,42.0,352.0,659.0,274.0,242.0,243943,25000000,Some Like It Hot
1955,118,119.0,8.2,232.0,262.0,84.0,586.0,316.0,28810,57226,Du rififi chez les hommes
1954,105,123.0,8.2,17.0,430.0,225.0,581.0,370.0,158335,12562,Dial M for Murder
1950,88,116.0,8.2,5.0,522.0,412.0,457.0,708.0,152572,96568,Rashômon
1950,138,124.0,8.2,226.0,53.0,35.0,224.0,117.0,120539,10177,All About Eve
1948,126,50.0,8.2,210.0,229.0,676.0,682.0,93.0,114304,5014000,The Treasure of the Sierra Madre
1925,95,37.0,8.2,64.0,93.0,413.0,688.0,272.0,101053,5450000,The Gold Rush
1924,45,18.0,8.2,56.0,83.0,363.0,324.0,218.0,41985,977375,Sherlock Jr.
2019,122,155.0,8.1,77.0,398.0,2.0,430.0,742.0,63134,3759854,Portrait de la jeune fille en feu
2016,136,162.0,8.1,28.0,497.0,22.0,393.0,32.0,39216,1241223,Pink
2016,145,157.0,8.1,63.0,315.0,354.0,109.0,547.0,113649,2006788,Ah-ga-ssi
2014,139,124.0,8.1,463.0,30.0,42.0,660.0,582.0,50700,3492754,Mommy
2014,160,20.0,8.1,451.0,481.0,628.0,645.0,412.0,50445,901610,Haider
2017,137,26.0,8.1,179.0,226.0,515.0,135.0,85.0,647884,226277068,Logan
2015,118,162.0,8.1,255.0,72.0,267.0,633.0,756.0,371538,14677674,Room
2014,122,97.0,8.1,79.0,131.0,440.0,497.0,171.0,177059,3107072,Relatos salvajes
